"GID","ENSEMBL","ENSEMBLTRANS","ENSEMBLPROT"
106895152,"ENSCPUG00000004354","ENSCPUT00000007226.1","ENSCPUP00000005951.1"
106891920,"","",""
106901418,"ENSCPUG00000004419","",""
106901418,"ENSCPUG00000004419","ENSCPUT00000007349.1","ENSCPUP00000006060.1"
106898121,"ENSCPUG00000001095","ENSCPUT00000001722.1","ENSCPUP00000001446.1"
106894232,"ENSCPUG00000006753","ENSCPUT00000011345.1","ENSCPUP00000009493.1"
106894412,"ENSCPUG00000019912","ENSCPUT00000034977.1","ENSCPUP00000029726.1"
106887697,"ENSCPUG00000017448","ENSCPUT00000030504.1","ENSCPUP00000025876.1"
106888264,"ENSCPUG00000009559","ENSCPUT00000016108.1","ENSCPUP00000013505.1"
54124880,"","",""
